0.200000	8.187333
0.400000	6.703243
0.600000	5.488168
0.800000	4.493346
1.000000	3.678852
1.200000	3.011999
1.400000	2.466024
1.600000	2.019016
1.800000	1.653036
2.000000	1.353395
2.200000	1.108070
2.400000	0.907214
2.600000	0.742766
2.800000	0.608127
3.000000	0.497894
3.200000	0.407643
3.400000	0.333751
3.600000	0.273253
3.800000	0.223721
4.000000	0.183168
4.200000	0.149966
4.400000	0.122782
4.600000	0.100526
4.800000	0.082304
5.000000	0.067385
5.200000	0.055170
5.400000	0.045170
5.600000	0.036982
5.800000	0.030278
6.000000	0.024790
6.200000	0.020296
6.400000	0.016617
6.600000	0.013605
6.800000	0.011139
7.000000	0.009120
7.200000	0.007467
7.400000	0.006113
7.600000	0.005005
7.800000	0.004098
8.000000	0.003355
8.200000	0.002747
8.400000	0.002249
8.600000	0.001841
8.800000	0.001508
9.000000	0.001234
9.200000	0.001011
9.400000	0.000827
9.600000	0.000677
9.800000	0.000555
10.000000	0.000454
